,dataset,prefix,sampling,encoding,classifier,train_type,status
219,BPI11/f2/60-80_80-100,70,all_in_one,simpleIndex,multinomialNB,incremental,NOK
220,BPI11/f2/0-40_80-100,70,all_in_one,complex,SGDClassifier,traditional,OK
221,BPI11/f2/0-60_80-100,70,all_in_one,complex,SGDClassifier,traditional,OK
222,BPI11/f2/0-80_80-100,70,all_in_one,complex,SGDClassifier,traditional,OK
223,BPI11/f2/40-60_80-100,70,all_in_one,complex,SGDClassifier,incremental,OK
224,BPI11/f2/60-80_80-100,70,all_in_one,complex,SGDClassifier,incremental,OK
225,BPI11/f2/0-40_80-100,70,all_in_one,simpleIndex,SGDClassifier,traditional,OK
226,BPI11/f2/0-60_80-100,70,all_in_one,simpleIndex,SGDClassifier,traditional,OK
227,BPI11/f2/0-80_80-100,70,all_in_one,simpleIndex,SGDClassifier,traditional,OK
228,BPI11/f2/40-60_80-100,70,all_in_one,simpleIndex,SGDClassifier,incremental,OK
229,BPI11/f2/60-80_80-100,70,all_in_one,simpleIndex,SGDClassifier,incremental,OK
230,BPI11/f2/0-40_80-100,70,all_in_one,complex,perceptron,traditional,OK
231,BPI11/f2/0-60_80-100,70,all_in_one,complex,perceptron,traditional,OK
232,BPI11/f2/0-80_80-100,70,all_in_one,complex,perceptron,traditional,OK
233,BPI11/f2/40-60_80-100,70,all_in_one,complex,perceptron,incremental,OK
234,BPI11/f2/60-80_80-100,70,all_in_one,complex,perceptron,incremental,OK
235,BPI11/f2/0-40_80-100,70,all_in_one,simpleIndex,perceptron,traditional,OK
236,BPI11/f2/0-60_80-100,70,all_in_one,simpleIndex,perceptron,traditional,OK
237,BPI11/f2/0-80_80-100,70,all_in_one,simpleIndex,perceptron,traditional,OK
238,BPI11/f2/40-60_80-100,70,all_in_one,simpleIndex,perceptron,incremental,OK
239,BPI11/f2/60-80_80-100,70,all_in_one,simpleIndex,perceptron,incremental,OK
240,BPI11/f3/0-40_80-100,10,all_in_one,complex,multinomialNB,traditional,OK
241,BPI11/f3/0-60_80-100,10,all_in_one,complex,multinomialNB,traditional,OK
242,BPI11/f3/0-80_80-100,10,all_in_one,complex,multinomialNB,traditional,OK
243,BPI11/f3/40-60_80-100,10,all_in_one,complex,multinomialNB,incremental,OK
244,BPI11/f3/60-80_80-100,10,all_in_one,complex,multinomialNB,incremental,OK
245,BPI11/f3/0-40_80-100,10,all_in_one,simpleIndex,multinomialNB,traditional,OK
246,BPI11/f3/0-60_80-100,10,all_in_one,simpleIndex,multinomialNB,traditional,OK
247,BPI11/f3/0-80_80-100,10,all_in_one,simpleIndex,multinomialNB,traditional,OK
248,BPI11/f3/40-60_80-100,10,all_in_one,simpleIndex,multinomialNB,incremental,OK
249,BPI11/f3/60-80_80-100,10,all_in_one,simpleIndex,multinomialNB,incremental,OK
250,BPI11/f3/0-40_80-100,10,all_in_one,complex,SGDClassifier,traditional,OK
251,BPI11/f3/0-60_80-100,10,all_in_one,complex,SGDClassifier,traditional,OK
252,BPI11/f3/0-80_80-100,10,all_in_one,complex,SGDClassifier,traditional,OK
253,BPI11/f3/40-60_80-100,10,all_in_one,complex,SGDClassifier,incremental,OK
254,BPI11/f3/60-80_80-100,10,all_in_one,complex,SGDClassifier,incremental,OK
255,BPI11/f3/0-40_80-100,10,all_in_one,simpleIndex,SGDClassifier,traditional,OK
256,BPI11/f3/0-60_80-100,10,all_in_one,simpleIndex,SGDClassifier,traditional,OK
257,BPI11/f3/0-80_80-100,10,all_in_one,simpleIndex,SGDClassifier,traditional,OK
258,BPI11/f3/40-60_80-100,10,all_in_one,simpleIndex,SGDClassifier,incremental,OK
259,BPI11/f3/60-80_80-100,10,all_in_one,simpleIndex,SGDClassifier,incremental,OK
260,BPI11/f3/0-40_80-100,10,all_in_one,complex,perceptron,traditional,OK
261,BPI11/f3/0-60_80-100,10,all_in_one,complex,perceptron,traditional,OK
262,BPI11/f3/0-80_80-100,10,all_in_one,complex,perceptron,traditional,OK
263,BPI11/f3/40-60_80-100,10,all_in_one,complex,perceptron,incremental,OK
264,BPI11/f3/60-80_80-100,10,all_in_one,complex,perceptron,incremental,OK
265,BPI11/f3/0-40_80-100,10,all_in_one,simpleIndex,perceptron,traditional,OK
266,BPI11/f3/0-60_80-100,10,all_in_one,simpleIndex,perceptron,traditional,OK
267,BPI11/f3/0-80_80-100,10,all_in_one,simpleIndex,perceptron,traditional,OK
268,BPI11/f3/40-60_80-100,10,all_in_one,simpleIndex,perceptron,incremental,OK
269,BPI11/f3/60-80_80-100,10,all_in_one,simpleIndex,perceptron,incremental,OK
270,BPI11/f3/0-40_80-100,30,all_in_one,complex,multinomialNB,traditional,OK
271,BPI11/f3/0-60_80-100,30,all_in_one,complex,multinomialNB,traditional,OK
272,BPI11/f3/0-80_80-100,30,all_in_one,complex,multinomialNB,traditional,OK
273,BPI11/f3/40-60_80-100,30,all_in_one,complex,multinomialNB,incremental,OK
274,BPI11/f3/60-80_80-100,30,all_in_one,complex,multinomialNB,incremental,OK
275,BPI11/f3/0-40_80-100,30,all_in_one,simpleIndex,multinomialNB,traditional,OK
276,BPI11/f3/0-60_80-100,30,all_in_one,simpleIndex,multinomialNB,traditional,OK
277,BPI11/f3/0-80_80-100,30,all_in_one,simpleIndex,multinomialNB,traditional,OK
278,BPI11/f3/40-60_80-100,30,all_in_one,simpleIndex,multinomialNB,incremental,OK
